Campaign,Campaign Daily Budget,Campaign Type,Campaign Status,Ad Group,Max CPC,Ad Group Status,Keyword,Criterion Type,Final URL
PCG | TAX | EN,25.00,Search,Paused,Extension deadline,4.00,Enabled,tax extension deadline,Phrase,https://pinedoconsulting.com/taxes/deadlines
PCG | TAX | ES,25.00,Search,Paused,Declaracion personal,3.00,Enabled,hacer taxes en espanol,Phrase,https://pinedoconsulting.com/es/impuestos/personales
PCG | TAX | ES,25.00,Search,Paused,Declaracion personal,3.00,Enabled,declaracion de impuestos personales,Phrase,https://pinedoconsulting.com/es/impuestos/personales
PCG | TAX | ES,25.00,Search,Paused,Declaracion personal,3.00,Enabled,no he declarado impuestos,Phrase,https://pinedoconsulting.com/es/impuestos/personales
PCG | TAX | ES,25.00,Search,Paused,ITIN,3.00,Enabled,tramite de itin,Exact,https://pinedoconsulting.com/es/impuestos/itin
PCG | TAX | ES,25.00,Search,Paused,ITIN,3.00,Enabled,numero itin,Exact,https://pinedoconsulting.com/es/impuestos/itin
PCG | TAX | ES,25.00,Search,Paused,ITIN,3.00,Enabled,renovar itin,Phrase,https://pinedoconsulting.com/es/impuestos/itin
PCG | TAX | ES,25.00,Search,Paused,ITIN,3.00,Enabled,solicitar itin,Phrase,https://pinedoconsulting.com/es/impuestos/itin
PCG | TAX | ES,25.00,Search,Paused,ITIN,3.00,Enabled,itin para dependientes,Phrase,https://pinedoconsulting.com/es/impuestos/itin
PCG | BOOKS | EN,7.00,Search,Paused,Bookkeeping,3.50,Enabled,bookkeeping services austin,Phrase,https://pinedoconsulting.com/services/bookkeeping
PCG | BOOKS | EN,7.00,Search,Paused,Bookkeeping,3.50,Enabled,small business bookkeeper austin,Phrase,https://pinedoconsulting.com/services/bookkeeping
PCG | BOOKS | EN,7.00,Search,Paused,Bookkeeping,3.50,Enabled,quickbooks bookkeeper,Phrase,https://pinedoconsulting.com/services/bookkeeping
PCG | BOOKS | EN,7.00,Search,Paused,Bookkeeping,3.50,Enabled,monthly bookkeeping service,Phrase,https://pinedoconsulting.com/services/bookkeeping
PCG | BOOKS | EN,7.00,Search,Paused,Catch-up,3.50,Enabled,bookkeeping catch up services,Phrase,https://pinedoconsulting.com/services/cleanup
PCG | BOOKS | EN,7.00,Search,Paused,Catch-up,3.50,Enabled,behind on bookkeeping,Phrase,https://pinedoconsulting.com/services/cleanup
PCG | BOOKS | EN,7.00,Search,Paused,Catch-up,3.50,Enabled,quickbooks cleanup service,Phrase,https://pinedoconsulting.com/services/cleanup
PCG | BOOKS | ES,5.00,Search,Paused,Contabilidad,2.50,Enabled,contabilidad para pequenos negocios,Phrase,https://pinedoconsulting.com/es/servicios/contabilidad
PCG | BOOKS | ES,5.00,Search,Paused,Contabilidad,2.50,Enabled,contador en espanol austin,Phrase,https://pinedoconsulting.com/es/servicios/contabilidad
PCG | BOOKS | ES,5.00,Search,Paused,Contabilidad,2.50,Enabled,servicio de contabilidad texas,Phrase,https://pinedoconsulting.com/es/servicios/contabilidad
PCG | BOOKS | ES,5.00,Search,Paused,Regularizacion,2.50,Enabled,regularizar contabilidad,Phrase,https://pinedoconsulting.com/es/servicios/regularizacion
PCG | BOOKS | ES,5.00,Search,Paused,Regularizacion,2.50,Enabled,libros contables atrasados,Phrase,https://pinedoconsulting.com/es/servicios/regularizacion
